Date,Timestamp ,Value
23-May,20200523066,26181
23-May,20200523065,26183
23-May,20200523064,26192
23-May,20200523063,26184
23-May,20200523062,26186
23-May,20200523061,26174
23-May,20200523060,26167
23-May,20200523059,26161
23-May,20200523058,26152
23-May,20200523057,26140
23-May,20200523056,26139
23-May,20200523055,26137
23-May,20200523054,26144
23-May,20200523053,26147
23-May,20200523052,26158
23-May,20200523051,26150
23-May,20200523050,26162
23-May,20200523049,26152
23-May,20200523048,26157
23-May,20200523047,26159
23-May,20200523046,26154
23-May,20200523045,26149
23-May,20200523044,26154
23-May,20200523043,26141
23-May,20200523042,26152
23-May,20200523041,26148
23-May,20200523040,26141
23-May,20200523039,26147
23-May,20200523038,26149
23-May,20200523037,26153
23-May,20200523036,26143
23-May,20200523035,26141
23-May,20200523034,26137
23-May,20200523033,26131
23-May,20200523032,26113
23-May,20200523031,26116
23-May,20200523030,26131
23-May,20200523029,26124
23-May,20200523028,26120
23-May,20200523027,26123
23-May,20200523026,26122
23-May,20200523025,26125
23-May,20200523024,26124
23-May,20200523023,26129
23-May,20200523022,26124
23-May,20200523021,26124
23-May,20200523020,26128
23-May,20200523019,26131
23-May,20200523018,26117
23-May,20200523017,26110
23-May,20200523016,26113
23-May,20200523015,26106
23-May,20200523014,26116
23-May,20200523013,26105
23-May,20200523012,26105
23-May,20200523011,26090
23-May,20200523010,26081
23-May,20200523009,26073
23-May,20200523008,26076
23-May,20200523007,26079
23-May,20200523006,26079
23-May,20200523005,26096
23-May,20200523004,26086
23-May,20200523003,26077
23-May,20200523002,26096
23-May,20200523001,26109
24-May,20200524480,26005
24-May,20200524479,26018
24-May,20200524478,26016
24-May,20200524477,26027
24-May,20200524476,26037
24-May,20200524475,26055
24-May,20200524474,26052
24-May,20200524473,26044
24-May,20200524472,26037
24-May,20200524471,26029
24-May,20200524470,26037
24-May,20200524469,26054
24-May,20200524468,26060
24-May,20200524467,26044
24-May,20200524466,26039
24-May,20200524465,26034
24-May,20200524464,26050
24-May,20200524463,26065
24-May,20200524462,26061
24-May,20200524461,26071
24-May,20200524460,26077
24-May,20200524459,26074
24-May,20200524458,26078
24-May,20200524457,26071
24-May,20200524456,26071
24-May,20200524455,26067
24-May,20200524454,26074
24-May,20200524453,26058
24-May,20200524452,26058
24-May,20200524451,26041
24-May,20200524450,26025
24-May,20200524449,26028
24-May,20200524448,26020
24-May,20200524447,26005
24-May,20200524446,25998
24-May,20200524445,25998
24-May,20200524444,25990
24-May,20200524443,25986
24-May,20200524442,25983
24-May,20200524441,25992
24-May,20200524440,25990
24-May,20200524439,25992
24-May,20200524438,25993
24-May,20200524437,25976
24-May,20200524436,25975
24-May,20200524435,25972
24-May,20200524434,25986
24-May,20200524433,25981
24-May,20200524432,25971
24-May,20200524431,25952
24-May,20200524430,25947
24-May,20200524429,25953
24-May,20200524428,25942
24-May,20200524427,25948
24-May,20200524426,25946
24-May,20200524425,25921
24-May,20200524424,25920
24-May,20200524423,25928
24-May,20200524422,25929
24-May,20200524421,25912
